"","cantantes","titulo","letra","genero","idioma","ano","posicion","semanas"
"39","CARLOS BAUTE","QUIEN TE QUIERE COMO YO","Quien te llena de alegría? como yo
Quien te besa quien te mima? solo yo
Quien te da tanto cariño? como yo
Quien te da lo que tu pides? solo yo
Te juro amor yo por ti daría toda la vida
Seguro estoy que jamas nadie te ha querido como yo

Quien te quiere y te cuida como yo?
Quien te alegra los días como yo?
Quien te da desayuno en la cama y te hace sentir una dama?
Quien te admira como yo?
Quien te piensa y te ama como yo?
Quien te lleva a conciertos mas viajes en barco a cruzar nuevos mares?
Quien respeta tu espacio?
Quien entiende tus días de cambio?
Quien saca lo bueno de ti?

Por favor no te olvides de mi
Quien te besa en las mañanas? como yo
Quien te cura cuando enfermas? solo yo
Quien te escuchara las penas? como yo
Quien te ama y quien te alegra? solo yo
Te juro amor yo por ti daría toda la vida
Seguro estoy que jamas nadie te ha querido como yo
Quien te quiere y te cuida como yo?
Quien te alegra los días como yo?
Quien te da desayuno en la cama y te hace sentir una dama?
Quien te admira como yo?
Quien te piensa y te ama como yo?
Quien te lleva a conciertos mas viajes en barco a cruzar nuevos mares?
Quien respeta tu espacio?
Quien entiende tus días de cambio?
Quien saca lo bueno de ti?

Por favor no te olvides de mi
Quien te quiere y te cuida como yo?
Quien te alegra los días como yo?
Quien te da desayuno en la cama y te hace sentir una dama?
Quien te admira como yo?
Quien te piensa y te ama como yo?
Quien te lleva a conciertos mas viajes en barco a cruzar nuevos mares?
Quien respeta tu espacio?
Quien entiende tus días de cambio?
Quien saca lo bueno de ti?
Por favor no te olvides de mi
Por favor no te olvides de mi","pop","es",2010,44,12
"40","SHAKIRA","LOBA","[Letra de ""Loca"" ft. El Cata]

[Intro: Shakira, El Cata]
Loca (Loca)
No te pongas bruto
Loca
Que te la bebe
Dance or die
Loca (Loca)
(Ra-ta-ta)

[Refrán: Shakira]
Él está por mí y por ti borró
Y eso que tú tienes to', y yo ni un kikí
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Verso 1: Shakira]
Ella se hace la bruta pa' cotizarse
Conmigo en frente, ella se hace la gata en celo contigo
Te cotorrea el oído pa' tenerte en alta
Ella muere por ti, tú por mí es que matas
Sigo tranquila como una paloma de e'quina
Mientras ella se pasa en su BM al lado mío
Yo de aquí no me voy, lo que está pa' mi
Ninguna va poder quitármelo de un tirón
[Coro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre (Loca, loca, loca)
Soy loca con mi tigre (Loca, loca, loca)

[Refrán: Shakira]
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Verso 2: Shakira, El Cata]
Mientras ella te complace con todos tus caprichos
Yo te llevo al malecón por un caminito
Me dicen que tu novia anda con un rifle
Porque me vio bailando mambo pa' ti, ¿qué no lo permite?
Yo no tengo la culpa de que tú te enamore'
Mientras él te compra flores yo compro cond— ooh!
Yo soy loca con mi tigre
Cuantas más rayas mejor y mira eso es lo que dicen (Shhh)

[Coro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre (Loca, loca, loca)
Soy loca con mi tigre
[Puente: Shakira, El Cata]
¡Dios mío! (Ahh! Ahh!)
Se colán lo' ra-ta-ta
No te pongas bruto
Que te la bebe
Loca (Loca)
Loca

[Refrán: Shakira]
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Coro / Outro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
(Ca, loca-ca, loca-ca, loca)
(Loca, loca, loca)","pop","es",2010,45,49
"41","CHERYL COLE","FIGHT FOR THIS LOVE","[Intro]
Mmm, oh

[Verse 1]
Too much of anything can make you sick
Even the good can be a curse (Curse)
Makes it hard to know which road to go down
Knowing too much can get you hurt
Is it better, is it worse?
Are we sitting in reverse?
It's just like we're going backwards (Backwards)
I know where I want this to go
Driving fast but let's go slow
What I don't wanna do is crash, no

[Pre-Chorus]
Just know that you're not in this thing alone
There's always a place in me that you can call home
Whenever you feel like we're growin' apart
Let's just go back, back, back, back (Back, back)
Back to the start, oh
[Chorus]
Anything that's worth having
Is sure enough, worth fighting for
Quitting's out of the question
When it gets tough, gotta fight some more (Oh)
We gotta fight, fight, fight, fight
Fight for this love
We gotta fight, fight, fight, fight
Fight for this love
We gotta fight, fight, fight, fight
Fight for this love
If it's worth having, it's worth fighting for
Oh oh oh

[Verse 2]
Now every day ain't gon' be no picnic
Love ain't a walk in the park
All you can do is make the best of it now
Can't be afraid of the dark

[Pre-Chorus]
Just know that you're not in this thing alone
There's always a place in me that you can call home
Whenever you feel like we're growin' apart
Let's just go back, back, back, back (Back, back)
Back to the start, oh
[Chorus]
Anything that's worth having
Is sure enough, worth fighting for
Quitting's out of the question
When it gets tough, gotta fight some more (Oh)
We gotta fight, fight, fight, fight
Fight for this love
We gotta fight, fight, fight, fight
Fight for this love (Oh, we gotta fight)
We gotta fight, fight, fight, fight
Fight for this love
If it's worth having, it's worth fighting for
Oh oh oh

[Bridge]
I don't know where we're heading
I'm willing and ready to go
We've been driving so fast
We just need to slow down, and just roll
Oh oh oh

[Chorus]
Anything that's worth having
Is sure enough, worth fighting for
Quitting's out of the question
When it gets tough, gotta fight some more (Oh)
We've gotta fight, fight, fight, fight (Fight, hey)
Fight for this love
We've gotta fight, fight, fight, fight (No matter how hard it gets)
Fight for this love
We've gotta fight, fight, fight, fight (We gotta fight, yeah)
Fight for this love
If it's worth having, it's worth fighting for (Oh oh oh)
[Outro]
We gotta fight, fight, fight, fight (We gotta fight, fight)
Fight for this love
We gotta fight, fight, fight, fight (We gotta fight, hey)
Fight for this love
We gotta fight, fight, fight, fight
Fight for this love
If it's worth having, it's worth fighting for
Oh oh oh","rb","en",2010,46,17
"42","THE BLACK EYED PEAS","THE TIME (DIRTY BIT)","[Intro: will.i.am]
This is international
Big mega radio smasher

[Pre-Chorus: will.i.am, Fergie]
I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you
Oh I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you-you
You-you-you-you-you-you-you-you
Youyouyouyouyouyouyouyou
Y-y-y-y-y-y-y-y-y-y-y

[Chorus: will.i.am]
Dirty bit
Dirty bit
[Verse 1: will.i.am]
I-I came up in here to rock
Light a fire, make it hot
I don't wanna take no pictures
I just wanna take some shots
So come on, let's go
Let's lose control
Let's do it all night, 'til we can't do it no mo'
People rockin' to the sound
Turn it up and watch it pound
We gon' rock it to the top
Until the roof come burnin' down
Yeah, it's hot in hurrrr
The temperature
Has got these ladies
Gettin' freakier

[Verse 2: Fergie]
I got freaky freaky baby
I was chilling with my ladies
I didn't come to get bougie
I came here to get crazy
I was born to get wild
That's my style
If you didn't know that
Well, baby, now you know now
[Refrain: The Black Eyed Peas]
'Cause I'm... havin'...
A good, time, with you
I'm tellin' you

[Pre-Chorus: will.i.am, Fergie]
I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you
Oh I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you-you
You-you-you-you-you-you-you-you
You-you-you-you-you-you-you-you
Y-y-y-y-y-y-y-y-y-y-y

[Chorus: will.i.am]
Dirty bit
Dirty bit

[Verse 3: apl.de.ap]
All-all these girls, they like my swagger
They callin' me Mick Jagger
I be Rolling like a Stone
Jetsetter, jetlagger
We ain't messin' with no maggots
Messin' with the baddest
Chicks in the club
Honey, what's up?
Mirror, mirror on the wall
Who's the baddest of them all?
Yeah it's gotta be the apl
I'm the mack daddy, y'all
Haters better step back
Ladies (Download your Ap)
I'm the party application
Rockin' just like that
[Bridge: will.i.am]
This is international
Big mega radio smasher

[Refrain: The Black Eyed Peas]
'Cause I'm.. havin'...
A good, time, with you
I'm tellin' you

[Pre-Chorus: will.i.am, Fergie]
I-I-I-I-I, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you
Oh I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you-you
I-I-I-I-I, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you
Oh I've, had, the time of my life
And I never felt this way before
And I swear, this is true
And I owe it all to you-you

[Chorus: will.i.am]
Dirty bit

[Outro: will.i.am]
Welcome
This is the beginning
For every ending, is mega starter
When they bring the dark
We bring the light, let's go","pop","en",2010,47,8
"43","TIMBALAND / KATY PERRY","IF WE EVER MEET AGAIN","[Verse 1: Timbaland]
What's somebody like you, doing in a place like this?
Say, did you come alone, or did you bring all your friends?
Say what's your name, what you drinkin'?
I think I know what you're thinking
Baby, what's your sign?
Tell me yours, I'll tell you mine
Say, what's somebody like you
Doing in a place like this?
(One, two, three, c'mon!)

[Chorus: Timbaland & Katy Perry]
I'll never be the same - if we ever meet again
Won't let you get away - say if we ever meet again
This free fall (Ahh) got me so (Ohh)
Kiss me all night, don't ever let me go
I'll never be the same - if we ever meet again

[Post-Chorus: Timbaland]
Ohh, ohh
Say if we ever meet again
[Verse 2: Katy Perry]
Do you come here much? I swear I've seen your face before (Before, yeah)
Hope you don't see me blush, but I can't help but want you more, more
Baby, tell me what's your story?
I ain't shy and don't you worry
I'm flirting with my eyes, wanna leave with you tonight
Do you come here much?
I gotta see your face some more
Some more, 'cause baby...

[Chorus: Timbaland & Katy Perry]
I'll never be the same - if we ever meet again
Won't let you get away - say if we ever meet again
This free fall (Ahh) got me so (Ohh)
Kiss me all night, don't ever let me go
I'll never be the same - if we ever meet again

[Bridge: Katy Perry & (Timbaland)]
If we ever meet again, I'll have so much more to say
(If we ever meet again)
If we ever meet again, I won't let you go away
(If we ever meet again)
If we ever, ever meet again, I'll have so much more to say
(If we ever meet again)
If we ever, ever meet again, I won't let you go away
Away-ay-ay-ay
[Chorus: Timbaland & Katy Perry]
I'll never be the same - if we ever meet again
Won't let you get away - say if we ever meet again
This free fall (Ahh) got me so (Ohh)
Kiss me all night, don't ever let me go
I'll never be the same - if we ever meet again
I'll never be the same - if we ever meet again
Won't let you get away - say if we ever meet again
This free fall (Ahh) got me so (Ohh)
Kiss me all night, don't ever let me go
I'll never be the same - if we ever meet again

[Outro: Sebastian]
Just when the night can't get no less
Porn star startin', what is this?
Vixens fightin' for their stress
I put in like Mr. West, yes
You gon' finish dear
And your body's so superb
Me and you the best in here
But yo' girl, face and ear
Face and ear, face and ear
Face and ear, face and ear","rb","en",2010,48,24
"44","BEYONCE","SWEET DREAMS","[Intro]
(Turn the lights on)

[Verse 1]
Every night I rush to my bed
With hopes that maybe I'll get a chance to see you
When I close my eyes, I'm going out of my head
Lost in a fairytale, can you hold my hands and be my guide?

[Pre-Chorus]
Clouds filled with stars cover your skies
And I hope it rains, you're the perfect lullaby
What kind of dream is this?

[Chorus]
You could be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
Sweet dream or a beautiful nightmare
Somebody pinch me, your love's too good to be true
(Turn the lights on)
My guilty pleasure, I ain't going nowhere
Baby, 'long as you're here, I'll be floating on air
'Cause you're mine
You can be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
[Verse 2]
I mention you when I say my prayers
I wrap you around all of my thoughts
Boy, you're my temporary high
I wish that when I wake up, you're there
To wrap your arms around me for real
And tell me you'll stay by my side

[Pre-Chorus]
Clouds filled with stars cover the skies (Cover the skies)
And I hope it rains, you're the perfect lullaby
What kind of dream is this?

[Chorus]
You could be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
Sweet dream or a beautiful nightmare
Somebody pinch me, your love's too good to be true
(Turn the lights on)
My guilty pleasure, I ain't going nowhere
Baby, 'long as you're here, I'll be floating on air
'Cause you're mine
You can be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
[Bridge]
Tattoo your name across my heart
So it will remain
Not even death could make us part
What kind of dream is this?

[Chorus]
You could be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
Sweet dream or a beautiful nightmare
Somebody pinch me, your love's too good to be true
(Turn the lights on)
My guilty pleasure, I ain't going nowhere
Baby, 'long as you're here, I'll be floating on air
'Cause you're mine
You can be a sweet dream or a beautiful nightmare
Either way I don't wanna wake up from you
(Turn the lights on)
Either way I don't wanna wake up from you","pop","en",2010,49,20
"45","CAMILA","MIENTES","[Letra de ""Mientes""]

[Verso 1]
Tú, llegaste a mi vida para enseñarme
Tú, supiste encenderme y luego apagarme
Tú, te hiciste indispensable para mí
Y, y, y con los ojos cerrados te seguí
Si yo busqué dolor, lo conseguí
No eres la persona que pensé
Que creí, que pedí

[Coro]
Mientes, me haces daño y luego te arrepientes
Ya no tiene caso que lo intentes
No me quedan ganas de sentir
Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí
Y hoy estoy mejor sin ti

[Verso 2]
Voy, de nuevo recordando lo que soy
Sabiendo lo que das y lo que doy
En mí no queda espacio para ti
Y, y, y, y, y el tiempo hizo lo suyo y comprendí
Las cosas no suceden porque sí
No eres la persona que pensé
Que creí, que pedí
[Coro]
Mientes, me haces daño y luego te arrepientes
Ya no tiene caso que lo intentes
No me quedan ganas de sentir
Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí
Y hoy estoy mejor sin ti
Y hoy estoy mejor sin ti
Llegas cuando estoy a punto de olvidarte
Busca tu camino en otra parte
Mientras busco el tiempo que perdí
Y hoy estoy mejor sin ti
Que hoy estoy mejor sin ti
Que hoy estoy mejor sin ti","pop","es",2010,50,22
"46","JENNIFER LOPEZ / PITBULL","ON THE FLOOR","[Intro: Pitbull & Jennifer Lopez]
JLo!
Ya tú sabes, no es más nada
It's a new generation
Mr. Worldwide!
Of party people
Yeah, get on the floor, dale
Get on the floor, RedOne
Let me introduce you to my party people in the club, ha!

[Verse 1: Pitbull]
I'm loose (I'm loose)
And everybody knows I get off the chain
Babe, it's the truth (It's the truth)
I'm like Inception, I play with your brain
So I don't sleep or snooze (Snooze)
I don't play no games so d-d-don't-don't-don't get it confused, no
'Cause you will lose, yeah
Now, now pu-pu-pu-pu-pump it up
And back it up, like a Tonka truck, dale!
[Verse 2: Jennifer Lopez, Pitbull & Both]
If you go hard, you gotta get on the floor (Hey)
If you're a party freak, then step on the floor (Yeah)
If you're an animal, then tear up the floor
Break a sweat on the floor, yeah, we work on the floor (Ah)
Don't stop, keep it moving, put your drinks up (Woo!)
Pick your body up and drop it on the floor (Hey)
Let the rhythm change your world on the floor (Hahaha)
You know we're running shit tonight on the floor
Brazil, Morocco, London to Ibiza
Straight to L.A., New York, Vegas to Africa (Ah)

[Chorus: Jennifer Lopez & Pitbull]
Dance the night away
Live your life, and stay young on the floor (Hahaha)
Dance the night away
Grab somebody, drink a little more
Así mismo, así me gusta, así me gusta, así me gusta
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor (Woo!)
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor (Let's rock)

[Verse 3: Jennifer Lopez, Pitbull & Both]
I know you got it, clap your hands on the floor (Hey)
And keep on rocking, rock it up on the floor (Yeah)
If you're a criminal, kill it on the floor
Steal it quick on the floor, on the floor (Yeah)
Don't stop, keep it moving, put your drinks up (Woo!)
It's getting ill, it's getting sick on the floor (Hey)
We never quit, we never rest on the floor (Yeah)
If I am not wrong, we'll probably die on the floor
Brazil, Morocco, London to Ibiza
Straight to L.A., New York, Vegas to Africa (Dale)
[Chorus: Jennifer Lopez & Pitbull]
Dance the night away
Live your life, and stay young on the floor (Ha, dale, así me gusta)
Dance the night away
Grab somebody, drink a little more
Dale, así me gusta, así me gusta, así me gusta
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor (Let's rock)
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor (Let's rock)
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor
La-la-la-la-la-la-la-la-la-la-la-la-la-la
Tonight, we gon' be it on the floor (Woo!)

[Verse 4: Pitbull]
That badonkadonk is like a trunk full of bass on an old school Chevy
Seven-trey donkey donk (Yeah)
All I need is some vodka and some chonky Coke
And watch, shit gon' get Donkey Konged (Hahaha)
Baby, if you're ready for things to get heavy
I get on the floor and act a fool if you let me, dale
Don't believe me, just bet me (Hahaha)
My name ain't Keith, but I see why you sweat me (Hahaha)
L.A., Miami, New York
Say no more, get on the floor (Woo)
[Chorus: Jennifer Lopez & Pitbull]
Dance the night away
Live your life, and stay young on the floor
Dance the night away
Grab somebody, drink a little more
La-la-la-la-la-la-la-la-la-la-la-la-la-la (Let's rock)
Tonight, we gon' be it on the floor
La-la-la-la-la-la-la-la-la-la-la-la-la-la (Let's rock)
Tonight, we gon' be it on the floor
La-la-la-la-la-la-la-la-la-la-la-la-la-la (Woo!)
Tonight, we gon' be it on the floor
La-la-la-la-la-la-la-la-la-la-la-la-la-la (Let's rock)
Tonight, we gon' be it on the floor (Woo!)
Tonight, we gon' be it on the floor
Tonight, we gon' be it on the floor","pop","en",2011,1,45
"47","DON OMAR / LUCENZO","DANZA KUDURO","[Letra de ""Danza Kuduro"" ft. Don Omar]

[Intro: Don Omar]
A&X
El Orfanato
¡Danza Kuduro!
(Plop, plop, plop, plop, plop, plop, plop)
¡Lucenzo!
(El Orfanato)
¡El Rey!

[Coro: Don Omar]
La mano arriba
Cintura sola
Da media vuelta
Danza kuduro
No te canse' ahora
Que esto sólo empieza
Mueve la cabeza
Danza kuduro
La mano arriba
Cintura sola
Da media vuelta
Danza kuduro
No te canse' ahora
Que esto sólo empieza
Mueve la cabeza
Danza kuduro
[Verso: Don Omar]
Quién puede domar la fuerza del mal
Que se mete por tu' vena' (¡Don!)
Lo caliente del sol que se te metió
Y no te deja quieta, nena (¡Toma, toma!)
Quién puede parar eso que al bailar
Descontrola tu' cadera' (Sexy!)
Y ese fuego que quema por dentro y lento
Te convierte en fiera (Rah)

[Coro: Don Omar]
Con la mano arriba
Cintura sola
Da media vuelta y sacude duro
No te quite' ahora
Que esto sólo empieza
Mueve la cabeza y sacude duro (¡Don!)

[Refrán: Lucenzo]
Mexe kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado
Quero ver mexer kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado, oh-oh-oh
[Pre-Coro: Lucenzo]
Oi, oi, oi
Oi, oi, oi, oi
É pra quebrar kuduro
Vamos dançar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Seja morena ou loira
Vem balançar kuduro
Oi, oi, oi

[Coro: Don Omar]
La mano arriba
Cintura sola
Da media vuelta
Danza kuduro
No te canse' ahora
Que esto sólo empieza
Mueve la cabeza
Danza kuduro
La mano arriba
Cintura sola
Da media vuelta
Danza kuduro
No te canse' ahora
Que esto sólo empieza
Mueve la cabeza
Danza kuduro
[Refrán: Lucenzo]
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado
Quero ver mexer kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado

[Pre-Coro: Lucenzo & Don Omar]
Oi, oi, oi
Oi, oi, oi, oi
É pra quebrar kuduro
Vamos dançar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Seja morena ou loira
Vem balançar kuduro
Oi, oi, oi
¡El Orfanato!

[Coro: Don Omar]
La mano arriba (Vai, vai; vuelta)
Cintura sola (Vai, vai; vuelta)
Da media vuelta (Vai, vai; vuelta)
Danza kuduro (Vai, vai; vuelta)
No te canse' ahora (Vai, vai; vuelta)
Que esto sólo empieza (Vai, vai; vuelta)
Mueve la cabeza (Vai, vai; vuelta)
Danza kuduro (Vai, vai; vuelta)
La mano arriba
Cintura sola
Da media vuelta
Danza kuduro
No te canse' ahora
Que esto sólo empieza
Mueve la cabeza
Danza kuduro

[Outro]
A&X","pop","es",2011,2,66
"48","PABLO ALBORAN","SOLAMENTE TU","[Letra de ''Solamente Tú'']

[Verso 1]
Regálame tu risa
Enseñame a soñar
Con solo una caricia
Me pierdo en este mar
Regálame tu estrella
La que ilumina esta noche
Llena de paz y de armonía
Y te entregaré mi vida

[Estribillo]
Haces que mi cielo
Vuelva a tener ese azul
Pintas de colores mis mañanas solo tú
Navego entre las olas de tu voz
Y tú, y tú, y tú, y solamente tú
Haces que mi alma se despierte con tu luz
Tú, y tú, y tú..
[Verso 2]
Enseña tus heridas y así la curará
Que sepa el mundo entero
Que tu voz guarda un secreto
No menciones tu nombre que en el firmamento
Se mueren de celos
Tus ojos son destellos
Tu garganta es un misterio

[Estribillo]
Haces que mi cielo
Vuelva a tener ese azul
Pintas de colores mis mañanas solo tú
Navego entre las olas de tu voz
Y tú, y tú, y tú, y solamente tú
Haces que mi alma se despierte con tu luz
Tú, y tú, y tú..
Y tú, y tú, y tú, y solamente tú
Haces que mi alma se despierte con tu luz
Tú, y tú, y tú...

[Puente]
No menciones tu nombre que en el firmamento
Se mueren de celos
Tus ojos son destellos
Tu garganta es un misterio
[Estribillo]
Haces que mi cielo
Vuelva a tener ese azul
Pintas de colores mis mañanas solo tú
Navego entre las olas de tu voz
Y tú, y tú, y tú, y solamente tú
Haces que mi alma se despierte con tu luz
Y tú, y tú, y tú..
Y tú, y tú, y tú, y solamente tú
Haces que mi alma se despierte con tu luz
Y tú, y tú, y tú..","pop","es",2011,3,53
"49","SHAKIRA / PITBULL","RABIOSA","[Letra de ""Rabiosa"" feat. El Cata]

[Verso 1: Shakira]
Rabiosa, que tengo pila 'e loco' haciendo cola
Tengo a palomo' metío' en lío'
Y yo te quiero atracao' ahí, ratatá
Que yo te quiero a quinientos y perdío'
Mentiras son dividí contigo
Porque esa vuelta no es pa' mí
Que yo quiero amarrao' a mí

[Refrán: El Cata & Shakira]
Oye, mami, vuélvete loca
Arúñame la espalda y muérdeme la boca, ajá, aja
Oye, papi, vuélveme loca
Arúñame la espalda y muérdeme la boca, ajá, aja

[Coro: Shakira]
Rabiosa (Ah, ah), rabiosa (Ah, ah)
Rabiosa, rabiosa
Yo soy rabiosa (Ah, ah), rabiosa (Ah, ah)
Rabiosa, rabiosa (Ah)
[Verso 2: El Cata & Shakira]
Rabiosa
Tú tienes pila 'e loco haciendo cola
Pila 'e palomo' metío' en lío'
Y tú me quieres atracao' ahí, ratatá
Que tú me tienes a quinientos y perdío'
Mentiras son dividí contigo
Pero esa vuelta no es pa' mí
Que tú me quiere' amarrao' a mí

[Refrán: El Cata & Shakira]
Oye, mami, vuélvete loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye papi, vuélveme loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye mami, vuélvete loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye papi, vuélveme loca
Arúñame la espalda y muérdeme la boca, ajá, ajá

[Coro: El Cata & Shakira]
Rabiosa, rabiosa
Rabiosa, tú eres rabiosa
Rabiosa (Ah, ah), rabiosa (Ah, ah)
Rabiosa, yo soy rabiosa (Ah)
[Instrumental]

[Refrán: El Cata & Shakira]
Oye, mami, vuélvete loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye papi, vuélveme loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye mami, vuélvete loca
Arúñame la espalda y muérdeme la boca, ajá, ajá
Oye papi, vuélveme loca
Arúñame la espalda y muérdeme la boca, ajá, ajá","pop","es",2011,4,34
"50","PITBULL / NE-YO / AFROJACK / NAYER","GIVE ME EVERYTHING","[Intro: Pitbull]
Me not workin' hard? Yeah right
Picture that with a Kodak
Or, better yet, go to Times Square
Take a picture of me with a Kodak
Took my life from negative to positive
I just want y'all to know that
And tonight, let's enjoy life
Pitbull, Nayer, Ne-Yo, tell us right

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know
We might not get tomorrow, let's do it tonight
Don't care what they say, or what games they play
Nothing is enough, 'til they handle love (Let's do it tonight)
I want you tonight, I want you to stay, I want you tonight
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight
[Verse 1: Pitbull]
Take advantage of tonight (Yeah)
'Cause tomorrow I'm off to Dubai to perform for a princess
But tonight, I can make you my queen
And make love to you endless (Yeah)
This is insane: the way the name growin'
Money keep flowin', hustlers move in silence
So, I'm tiptoein', to keep flowin'
I got it locked up like Lindsay Lohan (Woo)
Put it on my life, baby, I'll make you feel right, baby
Can't promise tomorrow, but I promise tonight (Dale)

[Pre-Chorus: Pitbull]
Excuse me (Excuse me)
And I might drink a little more than I should tonight (Tonight)
And I might take you home with me if I could tonight (Tonight)
And baby, I'ma make you feel so good tonight
'Cause we might not get tomorrow

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know
We might not get tomorrow, let's do it tonight
Don't care what they say, or what games they play
Nothing is enough, 'til they handle love (Let's do it tonight)
I want you tonight, I want you to stay, I want you tonight
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight
[Verse 2: Pitbull]
Reach for the stars, and if you don't grab them
At least you'll fall on top of the world
Think about it, 'cause if you slip
I'm gon' fall on top of your girl, haha
What I'm involved with is deeper than the Masons, baby baby
And it ain't no secret
My granny's from Cuba, but I'm an American idol
Gettin' money like Seacrest
Put it on my life, baby (Baby) I'll make you feel right, baby (Baby)
Can't promise tomorrow, but I promise tonight, dale

[Pre-Chorus: Pitbull]
Excuse me (Excuse me)
And I might drink a little more than I should tonight (Tonight)
And I might take you home with me if I could tonight (Tonight)
And, baby, I'ma make you feel so good, tonight
'Cause we might not get tomorrow

[Chorus: Ne-Yo & Nayer]
Tonight, I want all of you tonight
Give me everything tonight
For all we know
We might not get tomorrow, let's do it tonight
Don't care what they say, all the games they play
Nothing is enough, 'til they handle love (Let's do it tonight)
I want you tonight, I want you to stay, I want you tonight
Grab somebody sexy, tell 'em hey (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight (Hey)
Give me everything tonight
[Outro: Pitbull]
Excuse me (Excuse me)
But I might drink a little bit more than I should tonight
And I might take you home with me if I could tonight
And, baby, I'ma make you feel so good, tonight
'Cause we might not get tomorrow
(Tomorrow, tomorrow, tomorrow)","pop","en",2011,5,35
